id,category_id,gender,min_age,max_age
1127,408,female,35,44
1129,69,female,25,34
1133,408,female,25,34
1136,69,female,35,44
1138,69,female,35,44
1141,69,female,35,44
1143,69,female,35,44
1150,408,female,35,44
1151,411,female,55,64
1152,409,female,25,34
1157,63,female,25,34
1158,69,female,35,44
1159,411,female,45,54
1162,63,female,18,24
1190,69,female,35,44
1165,411,female,55,64
1167,410,female,1,4
1169,69,female,25,34
1170,69,female,25,34
1171,69,female,25,34
1179,408,female,35,44
1189,408,female,25,34
1196,69,female,25,34
1174,411,female,45,54
1194,69,female,35,44
1176,409,female,35,44
1187,408,female,25,34
1188,408,female,25,34
1198,69,female,25,34
1259,409,female,35,44
1201,69,female,25,34
1202,69,female,25,34
1203,69,female,18,24
1204,69,female,25,34
1261,410,female,11,17
1207,410,female,35,44
1209,411,female,25,34
1213,411,female,65,
1214,69,female,35,44
1215,410,female,5,10
1217,411,female,65,
1218,83,female,5,10
1220,69,female,25,34
1221,69,female,25,34
1224,411,female,55,64
1226,411,female,65,
1264,410,female,11,17
1230,410,female,25,34
1232,69,female,35,44
1234,408,female,35,44
1238,69,female,18,24
1266,412,female,65,
1240,83,female,25,34
1241,410,female,11,17
1243,411,female,55,64
1245,408,female,25,34
1246,408,female,25,34
1248,412,female,65,
1249,412,female,65,
1250,412,female,65,
1251,412,female,65,
1254,83,female,25,34
1255,83,female,25,34
1256,83,female,25,34
1257,408,female,35,44
1258,409,female,35,44
1267,409,female,55,64
1274,408,female,45,54
1277,69,female,35,44
1283,408,female,35,44
1284,410,female,11,17
1285,408,female,25,34
1286,83,female,11,17
1288,410,female,11,17
1290,409,female,25,34
1287,69,female,45,54
1289,411,female,55,64
1300,411,female,35,44
1291,408,female,45,54
1293,410,female,11,17
1294,410,female,18,24
1298,410,female,18,24
1299,410,female,18,24
1302,83,female,11,17
1303,83,female,5,10
1304,411,female,45,54
1308,409,female,25,34
1309,69,female,0,1
1311,83,female,25,34
1312,409,female,25,34
1314,409,female,25,34
1315,63,female,25,34
1316,409,female,18,24
1363,69,female,25,34
1325,69,female,35,44
1326,69,female,35,44
1328,408,female,35,44
1329,408,female,35,44
1364,411,female,65,
1332,69,female,18,24
1338,408,female,45,54
1341,411,female,55,64
1342,409,female,35,44
1343,409,female,35,44
1346,83,female,25,34
1355,408,female,25,34
1356,408,female,25,34
1357,408,female,18,24
1358,69,female,35,44
1360,408,female,35,44
1361,410,female,5,10
1368,411,female,55,64
1376,410,female,11,17
1384,410,female,11,17
1386,409,female,35,44
1387,409,female,35,44
1389,83,female,35,44
1390,69,female,25,34
1392,83,female,45,54
1393,69,female,45,54
1394,69,female,45,54
1402,411,female,65,
1405,69,female,25,34
1406,411,female,45,54
1407,408,female,45,54
1411,408,female,25,34
1415,410,female,1,4
1420,411,female,55,64
1430,83,female,65,
1431,69,female,25,34
1432,69,female,25,34
1433,411,female,45,54
1440,63,female,18,24
1451,408,female,25,34
1453,408,female,35,44
1454,411,female,55,64
1455,69,female,35,44
1456,412,female,65,
1460,69,female,18,24
1464,409,female,35,44
1465,408,female,35,44
1466,409,female,25,34
1467,410,female,5,10
1471,411,female,55,64
1472,411,female,55,64
1480,411,female,65,
1484,411,female,55,64
1485,83,female,65,
1488,408,female,25,34
1490,409,female,35,44
1491,408,female,25,34
1492,408,female,25,34
1493,408,female,18,24
1497,410,female,1,4
1501,411,female,55,64
1502,69,female,18,24
1504,411,female,55,64
1506,411,female,45,54
1510,63,female,25,34
1542,412,female,35,44
1513,409,female,35,44
1514,412,female,45,54
1517,69,female,18,24
1518,408,female,45,54
1520,63,female,25,34
1522,63,female,35,44
1523,63,female,45,54
1524,69,female,25,34
1526,408,female,35,44
1527,69,female,18,24
1528,83,female,11,17
1529,409,female,35,44
1531,69,female,35,44
1534,408,female,35,44
1535,408,female,35,44
1536,408,female,25,34
1545,69,female,35,44
1546,408,female,65,
1549,410,female,18,24
1551,410,female,18,24
1553,409,female,55,64
1554,63,female,18,24
1556,63,female,25,34
1557,410,female,18,24
1558,69,female,25,34
1559,69,female,25,34
1562,410,female,18,24
1566,83,female,45,54
1567,63,female,18,24
1570,409,female,45,54
1571,410,female,25,34
1574,410,female,35,44
1576,83,female,5,10
1578,411,female,65,
1582,408,female,25,34
1583,411,female,65,
1584,409,female,25,34
1585,408,female,35,44
1586,410,female,11,17
1590,411,female,65,
1594,412,female,11,17
1595,69,female,25,34
