Retailer,Product Name,Date and time,Indirect Sales
Amazon,Petzi Treat Cam: Wi-Fi Pet Camera & Treat Dispenser,6/20/16 9:50,di
Amazon,Yaktrax Walk Traction Cleats for Walking on Snow and Ice Medium,12/2/16 6:42,ndi
Amazon,Yaktrax Walk Traction Cleats for Walking on Snow and Ice Small,12/2/16 6:42,ndi
Amazon,Brooks Saddles Challenge Tool Bag (Aged Dark Tan),12/8/16 6:08,ndi
Amazon,Smartwool Women's Margarita Socks (Capri/Blue Stripe) Medium,12/2/16 6:42,di
Amazon,Barebones Living - Trekker Cooler | Outdoor Soft Side Lunch Bag Cooler Holds Up To 6 12oz Cans,12/9/17 16:45,di
Amazon,Flash Furniture Small Solid Navy Blue Kids Bean Bag Chair,9/10/17 11:20,ndi
Amazon,Sex at Dawn: How We Mate Why We Stray and What It Means for Modern Relationships,11/27/17 10:19,ndi
Amazon,SPACE Seating Professional AirGrid Dark Back and Padded Black Eco Leather Seat 2-to-1 Synchro Tilt Control Adjustable Arms and Tilt Tension with Nyl,12/11/17 8:43,ndi
Amazon,All-new Echo (2nd Generation) with improved sound powered by Dolby and a new design – Heather Gray Fabric,11/25/17 18:19,di
Amazon,Echo Dot (2nd Generation) - Black,11/27/17 15:17,di
Amazon,Hammermill Paper Premium Multi-Purpose Paper Poly Wrap 24lb 8.5 x 11 Letter 97 Bright 500 Sheets / 1 Ream (105810) Made In The USA,5/25/17 21:04,ndi
Amazon,Valuetoner Remanufactured Ink Cartridge Replacement for HP 60 CC640WN CC643WN (2 Black 1 Tri-Color) 3 Pack,12/7/17 5:54,ndi
Amazon,Holiday BEER GIFTS - 6 Pack Beer Holder Greeting Card (Set of 4) in Festive Holiday Lights design - Awesome for use as Christmas Party Hostess Gift C,12/18/17 9:58,ndi
Amazon,Leuchtturm Red Pen Loop,12/18/17 12:48,ndi
Amazon,Leuchtturm 1917 Orange Pen Loop,12/18/17 12:48,ndi
Amazon,Leuchtturm1917 Hardcover Medium Dotted Journal [Red],12/18/17 12:48,ndi
Amazon,U Brands Magnetic Dry Erase/Cork Weekly Calendar Board 18 x 7.5 Inches Silver Aluminum Frame,12/20/17 7:25,ndi
Amazon,Canon KP-108IN Ink/Paper Set,2/1/18 14:40,ndi
Amazon,Valuetoner Remanufactured Ink Cartridge Replacement for HP 60 CC640WN CC643WN (2 Black 1 Tri-Color) 3 Pack,2/27/18 5:30,ndi
Amazon,HP 60 Black Original Ink Cartridge (CC640WN) 2 Cartridges (CZ071FN),2/27/18 9:28,ndi
Amazon,Pilot G2 Retractable Premium Gel Ink Roller Ball Pens Fine Pt Dozen Box Navy Blue,5/8/18 8:57,ndi
Amazon,"Aviditi RM6K Self Seal Flat Mailer 18"" Length x 13"" Width Kraft (Case of 100)",3/20/18 11:58,ndi
Amazon,Crenova XPE460 LED Video Projector Home Projector with Free HDMI Support 1080P for Home Cinema Theater TV Laptop Game SD iPad iPhone Android Smartphon,12/9/16 15:29,di
Amazon,Scratch the World® - scratch off places you travel map print! - detailed cartography - 33.11 x 23.39 inches,8/6/17 19:14,di
Amazon,Canon SELPHY CP1300 Wireless Compact Photo Printer with AirPrint and Mopria Device Printing White,12/13/17 19:13,di
Amazon,"Productivity Planner - Daily Planner - Non Dated 5 x 8""",12/18/17 16:37,di
Amazon,Crenova XPE460 LED Video Projector Home Projector with Free HDMI Support 1080P for Home Cinema Theater TV Laptop Game SD iPad iPhone Android Smartphon,12/18/17 20:13,di
Amazon,Canon Office Products 2234C001 Canon SELPHY CP1300 Wireless Compact Photo Printer with AirPrint and Mopria Device Printing Black,2/1/18 14:40,di
Amazon,"Productivity Planner - Daily Planner - Non Dated 5 x 8"" - Accomplish your 2018 Goals",2/26/18 19:19,di
Amazon,Millant-Deroux The Original Dark Rosin For Violin - Viola - Cello,7/11/17 8:44,ndi
Amazon,Stentor 1500 4/4 Violin,6/27/17 11:10,di
Amazon,essie essie nail polish bordeaux 0.46 fl. oz.,5/31/17 10:30,ndi
Amazon,essie essie nail polish bordeaux 0.46 fl. oz.,5/31/17 16:05,ndi
Amazon,Mario Badescu Facial Spray with Aloe Herbs and Rosewater 4 oz.,5/8/18 8:57,ndi
Amazon,totes Auto Open Wooden Stick Umbrella Black One Size,12/7/16 19:26,ndi
Amazon,AmazonBasics 4-Piece Packing Cube Set - Small Gray,5/25/17 21:04,ndi
Amazon,Tumi Alpha 2 Split Travel Kit Black One Size,2/10/18 7:04,di
Amazon,Tovolo Silcone Mixing Spoon - Candy Apple,6/21/16 20:15,ndi
Amazon,Chef'n GarlicZoom Garlic Chopper (X-Large),8/11/16 6:37,ndi
Amazon,Crock-Pot 3-Quart Round Manual Slow Cooker Stainless Steel SCR300SS,12/15/16 20:42,ndi
Amazon,Leather Drink Coasters Set with Strap (6-Pack) Decorative Table Home Bar Kitchen or Dining Cup Holders Round,5/15/17 16:19,ndi
Amazon,Ball 4-Ounce Quilted Crystal Jelly Jars with Lids and Bands Set of 12 - 2 Pack (Total 24 Jars),11/3/17 19:05,ndi
Amazon,Hudson Essentials Cast Iron Cleaner XL 7x7 Premium Stainless Steel Chainmail Scrubber,11/27/17 11:40,ndi
Amazon,8Pcs Small Wooden Salt Spoon Condiments Teaspoon Seasoning Sugar Coffee Tea Jam Mustard Ice Cream,12/5/17 22:12,ndi
Amazon,Copper Garden Fork,12/8/17 18:14,ndi
Amazon,DeVine- Ah So Wine Opener for Vintage Bottles - Gift Packaging,12/16/17 0:22,ndi
Amazon,Stasher Reusable Silicone Food Bag Sandwich Bag Storage Bag Raspberry,2/2/18 18:12,ndi
Amazon,Suits You Just Got Litt Up! 15 oz White Ceramic Mug as seen on USA Network,2/14/18 10:27,ndi
Amazon,Bin 8 Multi Kitchen Tool (juices strains grates and more!),11/26/17 8:36,ndi
Amazon,NoGoo Silicone Plate - Approx 8” Round - Assorted Colors (Blue),12/13/17 19:13,ndi
Amazon,uKeg 64 Pressurized Growler for Craft Beer - Copper,11/29/16 9:52,di
Amazon,Nespresso Inissia Espresso Maker Black,12/16/16 12:53,di
Amazon,Instant Pot DUO80 8 Qt 7-in-1 Multi- Use Programmable Pressure Cooker Slow Cooker Rice Cooker Steamer Sauté Yogurt Maker and Warmer,11/24/17 10:05,di
Amazon,Fred DINNER WINNER Kids' Dinner Tray Enchanted Forest,11/29/17 5:48,di
Amazon,The Carry on Cocktail Kit The Old Fashioned,12/10/17 18:10,di
Amazon,Instant Pot Duo Mini 3 Qt 7-in-1 Multi- Use Programmable Pressure Cooker Slow Cooker Rice Cooker Steamer Sauté Yogurt Maker and Warmer,12/15/17 18:43,di
Amazon,OmieBox Bento Lunch Box With Insulated Thermos for Kids Meadow,1/2/18 7:51,di
Amazon,Preacher's Showdown (Preacher/First Mountain Man),2/13/18 8:02,ndi
Amazon,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting (now with Bébé Day by Day: 100 Keys to French Parenting),8/29/16 15:19,di
Amazon,What to Expect the First Year: Second Edition,8/29/16 15:29,di
Amazon,Elegoo UNO Project Super Starter Kit with Tutorial for Arduino,11/27/17 10:34,ndi
Amazon,Medline PRM21408CZ Caring Woven Non-Sterile 4x4 Gauze Sponges 8-ply (Pack of 200),4/21/18 12:21,ndi
Amazon,Top Greener TU2152A-W Dual USB Outlet/Outlet with USB ports Dual USB Charger Outlet USB Power Outlet 2.1A USB Outlet with 15A Tamper Resistant Dupl,11/27/17 11:40,ndi
Amazon,Alchemade Copper Garden Trowel,12/8/17 18:14,ndi
Amazon,United States Waving American Flag Stars and Stripes Lapel Pin,2/6/18 15:32,ndi
Amazon,Click & Grow Indoor Smart Fresh Herb Garden Kit With 3 Basil Cartridges & White Lid | Self Watering Planter & Patented Nano-Tech Medium For Plant Grow,11/30/17 11:55,di
Amazon,AvoSeedo Bowl Grown Your Own Avocado Tree Evergreen Perfect Avocado Tree Growing Kit for Every Avocado Lover - 3 Pack (Green Blue & Transparent),12/16/17 0:22,di
Amazon,Hallmark 2016 Disney Frozen Elsa and Anna Photo Holder Holiday Ornament,12/15/16 20:42,ndi
Amazon,Full Circle Tidy Organic Dish Cloths Set of 3 Multi,12/17/16 22:42,ndi
Amazon,MARATHON CL030033BK Atomic Self-setting Self-adjusting Wall Clock w/ Stand & 8 timezones - Batteries Included (Black),1/31/17 22:40,ndi
Amazon,LUCID 4 Inch Folding Mattress and Sofa with Removable Indoor / Outdoor Fabric Cover - Twin XL Size,11/8/17 5:41,ndi
Amazon,MaxHold No-Drilling/Suction Cup Double / Two Tier Corner Shower Caddy Organizer Basket - Vaccum System - Stainless Steel Never Rust - for Bathroom & K,11/26/17 18:46,ndi
Amazon,OXO Good Grips All-Purpose Squeegee,11/26/17 18:46,ndi
Amazon,OXA Smart 1000W Ultra-Compact Handheld Garment Steamer 20s Fast Steaming with 2 Brushes Portable Fabric Clothes Steamer – Portable Safe Lightweigh,11/27/17 9:41,ndi
Amazon,BSLINO 4pcs/set Triangle Sheet Band Straps Suspenders Adjustable Fitted Bed Sheet Corner Holder Elastic Straps Fasteners Clips Grippers Mattress Pad C,11/27/17 9:41,ndi
Amazon,Thirsty Rhino Stainless Steel Mini Flask Funnel / Essential Oil Bottle Funnel (Set of 2),12/5/17 22:12,ndi
Amazon,MG Décor Madhu's Collection Nose Eyeglass Holder,12/10/17 12:30,ndi
Amazon,"Popular Handicrafts Roundie Indian Mandala Throw Tapestry Hippy Round Table cover Beach Throw Picnic Tapestry Round 70""",12/11/17 5:03,ndi
Amazon,Artlicious - 50 Premium Distinct Colored Pencils for Adult Coloring Books - Bonus Sharpener - Color Names on Pencils,12/18/17 13:26,ndi
Amazon,Dried Longan Meat (Golden) Dried Fruit 100% Real Fruit No sugar Healthy Snack - 50g. (1.75 Oz),2/12/18 19:35,ndi
Amazon,Secura Instant-Steam Handheld Garment and Fabric Steamer with Stainless Steel Soleplate and Accessories 1000-Watt 360° Rotating Non-Bind Cord (2-year,3/18/18 16:31,ndi
Amazon,Dyson V7 Motorhead Cordless Stick Vacuum Cleaner,4/21/18 13:23,ndi
Amazon,Drill Brush Cordless Drill Power Scrubber,5/8/18 8:57,ndi
